call_date_Month,call_date_Day,a_party_id2,b_party_id,duration,charge,abbreviation,destination_name,city,sub_service_code,destination_type,package_name,call_direction
January,6,2348139842xxx,2348148890xxx,35,4.2,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348148926xxx,15,1.8,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348148941xxx,994,119.28,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348148999xxx,72,8.64,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149014xxx,399,47.88,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149017xxx,52,6.24,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149094xxx,402,48.24,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149145xxx,230,27.6,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149271xxx,1,0.12,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149298xxx,851,102.12,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149302xxx,6,0.72,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149340xxx,755,90.6,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149368xxx,108,12.96,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149407xxx,37,4.44,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149429xxx,343,41.16,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149462xxx,47,5.64,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149639xxx,382,45.84,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149784xxx,366,43.92,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149788xxx,485,58.2,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149934xxx,136,16.32,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348149950xxx,58,6.96,DC_ZONE_45,1482,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160005xxx,107,12.84,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160046xxx,219,26.28,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160048xxx,398,47.76,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160065xxx,26,3.12,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160068xxx,161,19.32,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160080xxx,255,30.6,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160101xxx,345,41.4,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160115xxx,309,37.08,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160118xxx,175,21,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160118xxx,1,0.12,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160125xxx,98,11.76,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160172xxx,148,17.76,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160183xxx,718,86.16,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160266xxx,88,10.56,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160268xxx,319,38.28,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160271xxx,314,37.68,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160299xxx,263,31.56,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160322xxx,17,2.04,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160341xxx,662,79.44,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160399xxx,274,32.88,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160419xxx,2,0.24,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160435xxx,59,7.08,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160449xxx,303,36.36,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160463xxx,16,1.92,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160510xxx,7,0.84,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160536xxx,203,24.36,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160568xxx,214,25.68,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160578xxx,269,32.28,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160603xxx,1,0.12,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160623xxx,172,20.64,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160626xxx,269,32.28,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160662xxx,653,78.36,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160709xxx,502,60.24,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160830xxx,163,19.56,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160836xxx,329,39.48,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160870xxx,463,55.56,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160876xxx,34,4.08,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160880xxx,111,13.32,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160912xxx,350,42,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160923xxx,449,53.88,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160929xxx,1,0.12,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348160946xxx,1,0.12,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161119xxx,390,46.8,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161235xxx,370,44.4,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161246xxx,1,0.12,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161260xxx,345,41.4,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161264xxx,1,0.12,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161283xxx,129,15.48,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161295xxx,342,41.04,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161312xxx,327,39.24,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161315xxx,345,41.4,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161369xxx,184,22.08,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161417xxx,395,47.4,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161425xxx,46,5.52,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161446xxx,108,12.96,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161482xxx,190,22.8,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
January,6,2348139842xxx,2348161565xxx,323,38.76,DC_ZONE_45,1718,PORT HARCOURT,DIRECTCON,Local,GREENLIGHT PCK,O
